hash,auto-pass coverage test,auto-pass fetch test,filename
86e2ab8f682d7b1cdc7b8e44fb871ac1241e3d93736d8dc3bb977cb41269028d,1,1,0nl1ne.at.xml
fbb2d56d33f886b53c314eac3446eed8bad7916660ad0709367936fe8335d987,1,1,112_Cafe.com.xml
49120e478094762f6fc73e19a4cde0780b0337ab95a8aa9fc6771608263697b0,1,1,123-reg.xml
880345f59a163743e49c06d4c3b66d508b7d59e75b060052218368c23d604593,1,1,168qiquan.com.xml
b5c96ae391a5b0971fb2438e3afd37ec7ce439e7dbb271276cf7bbeb0eb61450,1,1,16personalities.com.xml
b6bdbab95a01ef36c81f06cc64afc02bdaeb2e3eda1a7bb5d08e75723b18d58c,1,1,1c-bitrix.ru.xml
41003b900cf58a494e7fd80ce52ad63458c5d7b1ca7ef00ca013345bc3897dfb,1,1,1nsk.ru-problematic.xml
4d7ea51ecce8ef52d7f14fe3d2196e7647c347ae491a8c51ff84555426f4c05b,1,1,1phads.com.xml
55b1ea082e1da07a13ef7bca833f779a23335658d345294a35e4944b90c5c136,1,1,1TW.org.xml
1ff67ca34f280381f0ccb109ab6c0a5d0c4072d0912c04d10113407d6e98d060,1,1,24-7_Customer.xml
4209813635498e7b1f9c944d648173507b41e0e3260e16b3fdb6f3f945ffc28a,1,1,24-7-Media.xml
a17a8a5bd129ea9a79f7c6d799d48fdd65cd41a3d68f588851130e5dab380c89,1,1,2GIS.ru.xml
eb32831b72d8e99401053f1a2815b3b34101705ec5c179ca953216f37c889f7f,1,1,2o7.net.xml
499b05dc40b7451e3ad52d6bb7e8c33a0359e35747772e71cbd40d0762495a1c,1,1,32Red_Online_Casino.xml
a7d9ec08bb6294184d95da57900409f22eaf2ef1a49b66ea4c9e33cb77829167,1,1,33Across.xml
7fe27a3812a67c0645171e96582c54e60bf00bc1462eca19b78ae0fe04c70869,1,1,360Cities.xml
c14bb3f3b4743737ccb198bbbdc8d6e616222da753c44a83ff446a48c4e4e17f,1,1,365_Tickets_Global.com.xml
b4ca6032d9afb3266b1357049c18a03cdf197bca5081c2ec6a85d2f1dbaffa9c,1,1,37Signals.xml
3cd9cc0b3921f83d5bea3d5e948e0b95223f24dde3afa2bea2c346aba084eeb7,1,1,3dglassesfree.com.xml
31699a219ef66a666ea15d834156a3a221a88a7b5fe7dbe00605e0b54fe7b9a1,1,1,3M.com.xml
bb849298a0d0c4428a70065895e7179d1629cbc3a7388b83cb8a1c89d94bc278,1,1,3min.xml
3c99f53a4d880115ef1e772de6342352d38ef626a2290b469e5ef052231df736,1,1,4chan.xml
db0bf27bf0163ea780c63c9aae7d1ae5ffd171dd58565648e3b900ac45c4eb6c,1,1,4D.com.xml
9057fd7e7b62ed29d03856b8fd4800ce0c0e5c9821a019554b1914d9e993bf82,1,1,4_Free_Proxy.xml
428d486aae24b16281337cccebc6ac6856907362020df20b0179d353b45aee06,1,1,4gamer.net.xml
74ca90804616337361351b3c414460f572d3727064ed9eaeced3081481df81ab,1,1,64Px.com.xml
d73d05ee2e9267666c0ce2efb63b7ea6fb381bef08a0df118e6c1fa5a028d70b,1,1,80s_Purple.com.xml
ad597f5f278809ecc2bec2dbac2d47ff4937418c90dbb564836cfdb742e7f6bb,1,1,888173.net-falsemixed.xml
8223ab030d3a507686a55a6d13875fea38888ee6e1aefcb086e0ff99d83116f4,1,1,888173.net.xml
53ad3f31c9603c3fa9ef4e1737d60c314a2033b5646398e64986f1952d11bb2a,1,1,972mag.com.xml
7a25ea9f7d589947b91e6c4d54f91fadb6727107093a0154936119eac027ff8b,1,1,A1WebStats.com.xml
cd8fd181965e5c622afa28c8b6e4ea0a6717ffdff1ab9c55303500f718ccaaae,1,1,A4uexpo.com.xml
a77b292e0258a8a9a81a8e05fa342741e226a1e024978fe7c6677c7c65150ae3,1,1,AAMC.org.xml
dd5cc03269cd87827e03b1f87e7af9786948b5373e1e54583e88eef812c9124d,1,1,AA.net.uk.xml
120510f02eff7ac4388836b4d9547be6e427664b1a2ff124a2d51a3ce225cd73,1,1,Aart_de_Vos.xml
5951c130bb380082d7bd13a37a99cd0866398fa7bde7d493c63d5dc26dc9f672,1,1,ABC-Online.xml
7efde6da22a5ee5f55a7996be1c427a7547e17ab6f7599b36fccafd144d027dd,1,1,ABIS-studien.se.xml
a3db3682f950ebb592501ae3cc665a1d6b7bede688f6684dc21f08c1f027cfce,1,1,AboutUs-problematic.xml
178491e2c3fb87be402571e4a6fe685bf054df360389e0f814c48a5f5876414c,1,1,AboutUs.xml
ff05e504066e109239608a957da7fd5af45cc4e2691b4989b8986c3304c5af93,1,1,Abusix.com.xml
d7d8ef3f7c7dea8fd1a4daea747c3b8fe533cb4a1afda97ea868d3f5024f8165,1,1,Academia-Press.xml
cd5f72f97593de54561ecbff4887403b0debaa4349d9d1bad8f1061698176aff,1,1,Academy-of-Model-Aeronautics.xml
699cb9502f604f73e96aa178156924507ddc5ee3a5920b9fb5f0e3f877dc9ef8,1,1,Accenture.com.xml
2de3c612cfdf2f4511d5f3d7389f2f87f1ae77f3c0f6ef93a730f858e1020e36,1,1,Accessorize.xml
81b89878fc3685f7c80dee0152833803561c01b52df32fb3dd7b6dbdd5a9b8a7,1,1,Accordance_Bible.com.xml
c124a9be102885f879380ad4d50f97c436d7fc47b0e26ad4e75011eb4655ee18,1,1,Account_Online.com.xml
7861558b369255be4c424cbcf9755adcbf53898951530280e1f853e56380bbd0,1,1,Accountservergroup.com.xml
299017a21aa2f2d62f8a3e289cb80398b46a3a649ccdad3b34b2c0660e68c3ac,1,1,Ace_Hotel.com.xml
0125c928287517aef46f716b330e06ef3fea947145b4f4b974dea1fc4d7648aa,1,1,Acenet.xml
e016613d3ffb8370988f2a6130e187e527f650f7ecb9c072c2dceba118415d87,1,1,Acessoseguro.net.xml
b46e53a6f571bb484c20bd6d6506fdd6616e344cbd8c4ee987994878ba6f28b7,1,1,ACLU-of-Louisiana.xml
10da4a1eea9af2e6ffd4778880a6d15ac2d3b1023565524fb055a5b2dc6c6100,1,1,ACLU-of-Texas.xml
6c64426d014653391043ce02a23b55583a04d80ace228446343ae4fb3c1c52d4,1,1,Acquia.xml
5306a00bbba97f3edf93cd3bfe9f2231ba896ddf81fda180d35b3d7d44ebcd89,1,1,Acro-Media.xml
afac00a30771d97a500c173ab56c5b4173bbfe270b792979faddc7f21a41a1b2,1,1,Acronis.com.xml
cfe9083c4ccd218e18bf913d20098b3f72f5d878fe7325a3cb460dffc04cef94,1,1,ActBlue.xml
15a0856f0603c5730add28e9a2e6a36acc432c7704a7bb007517f496cd35fc65,1,1,ActionKit.com.xml
36f4696ba37079dc47a8aa131a923aa8f4f1647f88320ac16424d61753747390,1,1,Active.com.xml
8f563f104d1f8ca36dbd4f162e6749d61cddb8a0cc3ed0cced20a0198a5df7a1,1,1,Active-Events.xml
41ceace9d8d7e0b5415d705b5aed152a387bbb2e3e2f121a6e4c98a7a8a0af3d,1,1,Active_Network.com.xml
881098f72636035033bd336f49a78c043be02647edb3ab3f0b036c4ef5bab188,1,1,ActiveState-Software.xml
fc7c90d849f4bb81243211a9562b2c2b9a56cd5bbbdfe376a1c891c0c3fce0e2,1,1,Activision_Blizzard.com.xml
4c2db37d2cbc8d5ae0b47f210c0a2e8f7e6feb0a8f8d6e9c6a7a818c190fe201,1,1,Act-On-Software.xml
aac196636a510fcd25bec0598955670ac1aa8b282f29e4a9372c284a5d6ec776,1,1,Ad4Game.xml
fb0ca273f18259e6a3a5fa830d5935ac5031be61d471a2cc0c6aeecdaea13698,1,1,Adallom.com.xml
c781e81a341599aecb674a36f114512b59f5f7930fc309097a456c71e28db902,1,1,Adaptavist.com.xml
79ecbb418c39e3d0dd20ddb11402b52c352a8a4285754d2decdabe3d9239e8fe,1,1,Adbooth.net.xml
95314fb83ab85e7efb844d3c5b8fe1b85e30b6d827ee6c58845c8eb6b0e55632,1,1,Adbusters.org.xml
58bab8c45b010c8e4f1b26a3752150319cc93fba598aeb28997ea551164b68e5,1,1,AdButler.xml
6c704e7633a84752e7d46297f9077c027c9507dfc3ccdbcdd65612c44fdbfcaf,1,1,Addison.com.hk.xml
7e07fe570f87f45fad1782566e2b13d2990371f8e62d275445705160b998007a,1,1,Addison_Lee.xml
3cc9ae403b734dc71977ed8ac1f0dd5834918e23868ea196f713283e1c35d9af,1,1,Adelaide.edu.au.xml
85e646feb50d923ba00a0e5b8711d59747d60c795350de27392897a7ecba9b97,1,1,Adestra.xml
f955c3a0b2957325ada0ce3a857f05c47269d1442a47301c438310a88f3d1e88,1,1,AdExtent.com-problematic.xml
1564ad6d65baf7742b82aa1d37e57713779da9121d29e4e0db25d66de821b1a6,1,1,AdExtent.com.xml
8cbbef2c983926ade2910afe291b3718ace41f5d2346612ae1a4f10450719a26,1,1,Adigital.xml
e87c8a23db52372be00ffa86181ccc6e32cea7ff5f646f884a452187c543f2d3,1,1,AdJuggler-problematic.xml
5dffa6059f25b1934cbcb4b3c3cadfc7f0c45711cf7a3940141fe366c1dc632a,1,1,AdJuggler.xml
ad273c17a4272904192c101b9e916e64e8240f604ddee81c1815fda8eaae6256,1,1,Ad-Juster.xml
59cc2418711440f263b64cf22e74ec08e468f0ae6de3d416baa876f2c2428281,1,1,Adknowledge.xml
4d1793c09e8a9352a5fa37c834283c51292621120a3f6971f1b612bd8bb7c0ff,1,1,Adkontekst.pl-problematic.xml
2120b965fbf664a8c9867dc86450029429847392509c410e4518755167e6d9c4,1,1,Adkontekst.pl.xml
4c09d3838a0cd51836fb8c992b554f87113c035fd3768cd77ee28709a035f98f,1,1,Admeld.xml
cbd72b76fa85ccae644d28855f060f3aa196cc9159897c65c68a63750707d992,1,1,Admized.xml
ce56c65406df4436852f26458e9264c88c627758762ab195945b3e30a19353d4,1,1,Adobe_login.com.xml
fd65ead052aa5595ec642b95ffcac548054ee2f23929373096920819d6e80410,1,1,Adobe-mismatches.xml
8b22f1183bf7b4280462551fa192a49e564c169a57a12283426ffed37e2604a7,1,1,Adoyacademy.se.xml
ef929d8b8e7c668eb8ffc79194639b6e3283d885ee97da5a311ef5f2a6652349,1,1,Adpay.com.xml
9dd2d07280b679205432600769a989ace5a9feebe2ab2e5288b509719325be90,1,1,ADP_Screening_and_Selection_Services.xml
0ce36ec76ead790e4c2ec1723a8d5edd8eddedb784497d2a319ff3217dc3bc62,1,1,AdRoll-problematic.xml
1f0b2754c91864e66f3f0b946aa54a5515bd9ab8379ba1058ad1a862ef648c86,1,1,Adseekmedia.xml
9bcf20ddf58d4853d75b536e82a5b188eb9322a78c2660adc45cf9ed94abfe48,1,1,Adserver01.de.xml
5514a8bcdc709b386c8ec7b573fb3c03c4f1cd29aa7756877dfc38af086c56df,1,1,Adspdbl.com.xml
1c0cd7ed2fce20b30da6a7427338c07b544ed8d36f933b7121af72a4537eb154,1,1,Adsrvmedia.com.xml
13d89626ddc7c6d6d75042394f3610c6a0013ea5896be2ff6fa5aa4c19fdbf81,1,1,Adsurve.com.xml
87c72f674f27d72d20c7af4c375a804142a48bb10f6089082c199c8c08806cca,1,1,Adtarget.me.xml
6ae8fc3fcef08cb519f00f685963170d30fade668e47adf81d90df8d23f16caf,1,1,Adtraxx.de.xml
de7a8a93300f46f919aafc9b2f6962e873e652999304b3e024dc3ffd42abab40,1,1,Adult-Ad-World.xml
9ecb2fe57628be35d44eb6c7ba85bfb70b486651e13ca093a7aeca63f07e7044,1,1,Advel.xml
00bc0f8d49ed0c18f7f093f5a131fd8a2c0272abc61fadf67390f165850902e3,1,1,Adverticum.xml
2fcd7b4005d206ba767f53c6574cecf4a80560d5dd55e893be60ba745ffcb781,1,1,Advertise.com.xml
7cb2786a2b879652734cbb50bbd97b194bdb20a9ee61e7bcad4f2c8f4e0e081f,1,1,AdvertServe.com.xml
647f17a6552fca35d3f6adcaba796255783f8359bb04e2df772dda1d3bb9e9b7,1,1,Adverts.ie.xml
21a29c7ad37f2a6859026e8a95f6ddaa54a0880f194d0921801ab9c68aa89da7,1,1,Advert_Stream.xml
d739ae917fa93939b84610ee6f929652200a550db28565e5ab38e60f7e82163a,1,1,Advisor_Mailout.com.xml
aeb3aaa75d0f75ddc959ff6d7fa7cdde1a427225fbba8c75f61ddf4b9d020589,1,1,Advocates_for_Youth.xml
69c1959f487518867ceec94512b46a8f04bb6e284ca29b3fc8a81930bb9eda54,1,1,Advolution.de.xml
1b02687ac0376030b5cb96f3d9388028a25e67ecab6b507eb80dd327037c6ad1,1,1,Ady_Advantage.com.xml
d7d1feba8265340d5dc69308f3050a2e92e79062c191826e005384d161570563,1,1,Aea.se.xml
73a9d282ef2fe188fc97baf2fb98528353a8f1d5ca7416a2defbceaddfb54471,1,1,Aereo.com-problematic.xml
2bba736076144c6e074447935696b487b2457699ad13c4c0da5036f27408e7a5,1,1,Aeriagames.xml
371bb1b7c3bf760e4a6a8d3d9d0f0adb76c8eae008af53fae07d19dbfa5833b7,1,1,AerLingus.xml
276a2773697e1f02e05064c9caafa4958b2dbab8110457e719a14e3d15db499b,1,1,AEUP.eu.xml
850e3cb7d69fc3d4574fcb87fa943ccc585e8bc45c1c25f1d43802c9358bfdcd,1,1,AFCEA.xml
e907a8989f2f1069b0484e23fec5c5ee2d5273922f82918cfd516a9e0f852444,1,1,Affili.net.xml
d7080434a9f73a06d758696e4ec5e7b3c60968c0c1a4271e70e32cdf4ac1a170,1,1,Afford.com.xml
38ec73a3c085415411ccf9d84964b1a91ae2a04161ffa2929bf83bd661df4cd5,1,1,African-Network-Information-Center.xml
1a9ad13bfc81df909453c311adf38dd10aaba3caf4c21caacee8d4489ad8f554,1,1,Aftenposten.no-falsemixed.xml
7e80b6e07f7f5710aebd5148cee70e1784758bf514135d89dc53ba0d6bcc7d7d,1,1,Aftenposten.xml
9e7924cf6848f1b4a327944ec8f0847966a5b55a63cc6a3c728ae83b72519f3c,1,1,Agari.xml
31d96df38792a74447a5cfa73761b450e0f56d1f9885dbdd94d11179075bda79,1,1,Agri_Supply.com.xml
452f715c31c587b38c22a8f64fccaa8143f2e18b17a4ecea046d395402f14dfa,1,1,AGU.org.xml
bcbb52268a9bd3b28943b7e1cfe41e7cf506bb0b2a278e52f14074a8ab050da3,1,1,Ahm.com.au.xml
3460548e370d47fc4b22323a329b3c23874c073b431fc797bf87fe9a563347e8,1,1,Ahnlab.com.xml
a760852f448ce99221cc037514e2053189ea6efd54f6a143f17e547146789d3d,1,1,AIA-Surety.xml
918c73939478446e6f1c85d535bef5f9586303d88b793aa00d9fe9c457b28b4d,1,1,AirAsia.xml
580ba78e322e5ca2883934cce4ad1a43633900302c394159e4e65741461d86f5,1,1,Airtricity.xml
034ff7106c791ad8f0fa08fb6d9a415dd04f5fc3a4836accba2e91dc899e54b9,1,1,AkademikerForsakring.se.xml
a545c25b0283cf517189ce36a6dddce5df2929e18e6ecec11e7d392ded07c12f,1,1,AkademiskaHus.se.xml
5e1cdb7d9af34842a8c2b7c7f414caa8b84bafe4072bb7d883f7084dd5edcdfb,1,1,Akban.org.xml
a51944a1bddd9a16f65544770d110e4f3d8db4a39a341d9bdd907a38a5b4d98d,1,1,Aktion-Deutschland-Hilft.de.xml
4be7e0c8c19b3bc7ce6a228c7f867f4ca8fa474671c4c1a2fa1186e31f0fed06,1,1,AlaskaAirlines.xml
187e9c128e4b4237887a14de2f1efeb6fdf647e2549b0abb4f2fc09112879a59,1,1,Alcatel-Lucent.com.xml
1a75f296456093e211748b9d5dc4f8c2460d36d5ea29f0a72872e00ccaa93a94,1,1,Aleavia.xml
66d40fad37903ccbf81d50fff39b8ecdfae22977877eca18b263ab645462c167,1,1,Alert_Investor_Relations.xml
e8c3d38e946b232e004c4533a09841ce614d2cdaa41b8b18d3966c58858d2e6a,1,1,AlienVault.xml
db6ae9c06d4334affab2b17ebff06089701359316e8a01796179cecf56e6af3f,1,1,Alivenotdead.com.xml
1e1a3eee124780dc325850e37cbe518f2ddb7fe35d245f00ef4e11a4abdaa67e,1,1,allAfrica.xml
6827360f5b76bf1f5c3c862ef052db2452817f026dce69f608d34aded6973ead,1,1,Allegro.xml
44203d13b19cfdc0327538af844761f8b751d0dd7ccd532df64d5d141ca80db5,1,1,AllianceBernstein.xml
1e3849dd66ad705c0195117340c17670db0ee819b655850db2ee1d2a7413c0df,1,1,Allianz_fur_Cyber-Sicherheit.xml
7d754b99dccf2efa202155cbb5d05539eb1de2d13044cf981078eb2f2552d22b,1,1,Allied_Media.org.xml
65a56ac78693bcdfaaffda41497a02352ed985a9412a8b8f42749aaee081437e,1,1,AlliedMods.xml
9598c551f4c6adaf8d6ee9c936d2b9c3a07150f6de188ab4bf8da07f9535885a,1,1,AllPlayers.com.xml
8301f6814674c19485621cb8cdf4f730b6faff112273ebacc1010a1416925279,1,1,AllSeen_Alliance.org.xml
b125f385993611b00d091c986d7a2502bf486be872598a07e3cdbbe0011826f6,1,1,Alluremedia.xml
491e025f3c6f1e8f67e06bfe2520d594d5675d15dbefa5f0963787103931b47b,1,1,Ally_Financial-problematic.xml
9c0d5a857e79add9448073b8b00be9d8fdb75138d4bf34175850da6503de31be,1,1,All_You_Can_Arcade.com.xml
03e6e531ec407c355e7658710b5046c418c7268a34be793d6b8ff8866854c059,1,1,Alonetone.xml
f8154916d6f3d0255e6589d3f054caa5644cf7a8a744c2aae37522463d78d7f0,1,1,ALSOActebis.xml
f4b1975dc6c0cc76d40a13198af3f6e0c55ade83c2fc0c0fd4ade1c28301c070,1,1,Alta_Ski_Area.xml
8662563b129fadb5f1c138f5ae357fb4b079659dd729055146780cc37e90feb1,1,1,Altera.com.xml
36dc1e933c2e1aa07ed5dc11790b5c107e5fb5e068d5bcd5bb8ecf2593c397c0,1,1,Altera_Praxis.com.xml
5d30fe7992767abd2f1648d0508b16d78a0333eda4a987917db02ef25941175e,1,1,Alticore.xml
b2b22a603da5fae9c69dba087e64ff715099d1dadc267f06b18d255b6d9c8239,1,1,Altimate_Wellness.xml
09bea1ea178d71a5ca9e1dbf010d5dcfb52d1040ec035b13b9b3f0224a184766,1,1,AlumFX.com.xml
ecf83b2e3407dcafc5d57a28845efe85f9da0db7a4aaa6aadcae2f64401397e6,1,1,Alwaysdata.com-problematic.xml
8746769506acc6116b8a7768384c937b169b54f2053bf0b6a991aea4ff2ee043,1,1,Alwaysdata.com.xml
83aae8644fbd60dda604ede8c58cd14dc739f87281bba346cead0c5989ab41df,1,1,Alzforum.org.xml
158c3c93a52e4012afdb9db300a0eb3e2384d666292d478c3f4b8c86077b7474,1,1,Alzheimers_Association.xml
43da61ca7c1315ad777e6b31da04f79abac68f4305e43112ff45371ce9f06e0e,1,1,Alzheimers_Society.xml
3c08535791b2507c36a6c02506e8554d4954840c5997dabb6d8d500178e7e41f,1,1,Amber_Swann_Publishing.xml
745518e102d29ae0f1d16d2601f00f4c64cc0378f34dd891de07b93e8a1b7861,1,1,Amd.co.at.xml
